link,loss,name,position,team,tie,win,year
/coaches/HughEd0.htm,8,Ed Hughes,Offensive Coach,San Francisco 49ers,2,4,1969
/coaches/ShofJi0.htm,8,Jim Shofner,Defensive Backs,San Francisco 49ers,2,4,1969
/coaches/WiggPa0.htm,8,Paul Wiggin,Defensive Line,San Francisco 49ers,2,4,1969
/coaches/GranBu0.htm,2,Bud Grant,Coach,Minnesota Vikings,0,12,1969
/coaches/PateJa0.htm,2,Jack Patera,Defensive Line,Minnesota Vikings,0,12,1969
/coaches/VanBNo0.htm,8,Norm Van Brocklin,Coach,Atlanta Falcons,0,6,1969
/coaches/BrunFr0.htm,8,Fred Bruney,Defensive Backs,Atlanta Falcons,0,6,1969
/coaches/ShulDo0.htm,5,Don Shula,Coach,Baltimore Colts,1,8,1969
/coaches/ArnsBi0.htm,5,Bill Arnsparger,Defensive Line,Baltimore Colts,1,8,1969
/coaches/McCaDo0.htm,5,Don McCafferty,Offensive Backfield,Baltimore Colts,1,8,1969
/coaches/AlleGe0.htm,3,George Allen,Coach,Los Angeles Rams,0,11,1969
/coaches/CatlTo0.htm,3,Tom Catlin,Defensive Backs,Los Angeles Rams,0,11,1969
/coaches/MarcTe0.htm,3,Ted Marchibroda,Offensive Backs,Los Angeles Rams,0,11,1969
/coaches/VermDi0.htm,3,Dick Vermeil,Special Teams,Los Angeles Rams,0,11,1969
/coaches/NollCh0.htm,13,Chuck Noll,Coach,Pittsburgh Steelers,0,1,1969
/coaches/CourDi0.htm,13,Dick Coury,Assistant,Pittsburgh Steelers,0,1,1969
/coaches/WinnCh0.htm,9,Charley Winner,Coach,St. Louis Cardinals,1,4,1969
/coaches/GilmHa0.htm,9,Harry Gilmer,Quarterbacks,St. Louis Cardinals,1,4,1969
/coaches/MillRe0.htm,9,Red Miller,Offensive Line,St. Louis Cardinals,1,4,1969
/coaches/WebsAl0.htm,8,Alex Webster,Coach,New York Giants,0,6,1969
/coaches/WaltJo0.htm,8,Joe Walton,Wide Receivers,New York Giants,0,6,1969
/coaches/CollBl0.htm,3,Blanton Collier,Coach,Cleveland Browns,1,10,1969
/coaches/SkorNi0.htm,3,Nick Skorich,Assistant Coach,Cleveland Browns,1,10,1969
/coaches/WillJe0.htm,9,Jerry Williams,Coach,Philadelphia Eagles,1,4,1969
/coaches/LevyMa0.htm,9,Marv Levy,Kicking Teams,Philadelphia Eagles,1,4,1969
/coaches/StanDi0.htm,9,Dick Stanfel,Offensive Line,Philadelphia Eagles,1,4,1969
/coaches/FearTo0.htm,9,Tom Fears,Coach,New Orleans Saints,0,5,1969
/coaches/BileEd0.htm,9,Ed Biles,Assistant Coach,New Orleans Saints,0,5,1969
/coaches/FaulJa0.htm,9,Jack Faulkner,Defensive Coach,New Orleans Saints,0,5,1969
/coaches/KhayEd0.htm,9,Ed Khayat,Defensive Line,New Orleans Saints,0,5,1969
/coaches/LombVi0.htm,5,Vince Lombardi,Coach,Washington Redskins,2,7,1969
/coaches/AustBi0.htm,5,Bill Austin,Offensive Line,Washington Redskins,2,7,1969
/coaches/McCoMi0.htm,5,Mike McCormack,Assistant Coach,Washington Redskins,2,7,1969
/coaches/LandTo0.htm,2,Tom Landry,Coach,Dallas Cowboys,1,11,1969
/coaches/BerrRa0.htm,2,Raymond Berry,Receivers,Dallas Cowboys,1,11,1969
/coaches/NolaDi0.htm,9,Dick Nolan,Coach,San Francisco 49ers,0,5,1973
/coaches/ShofJi0.htm,9,Jim Shofner,Quarterbacks/Wide Receivers,San Francisco 49ers,0,5,1973
/coaches/WiggPa0.htm,9,Paul Wiggin,Defensive Line,San Francisco 49ers,0,5,1973
/coaches/VanBNo0.htm,5,Norm Van Brocklin,Coach,Atlanta Falcons,0,9,1973
/coaches/BrunFr0.htm,5,Fred Bruney,Defensive Backs,Atlanta Falcons,0,9,1973
/coaches/GilmHa0.htm,5,Harry Gilmer,Assistant Coach,Atlanta Falcons,0,9,1973
/coaches/KnoxCh0.htm,2,Chuck Knox,Coach,Los Angeles Rams,0,12,1973
/coaches/BennLe0.htm,2,Leeman Bennett,Receivers,Los Angeles Rams,0,12,1973
/coaches/CatlTo0.htm,2,Tom Catlin,Linebackers,Los Angeles Rams,0,12,1973
/coaches/FaulJa0.htm,2,Jack Faulkner,Assistant,Los Angeles Rams,0,12,1973
/coaches/VermDi0.htm,2,Dick Vermeil,Assistant,Los Angeles Rams,0,12,1973
/coaches/GibrAb0.htm,11,Abe Gibron,Coach,Chicago Bears,0,3,1973
/coaches/DeviDa0.htm,7,Dan Devine,Coach,Green Bay Packers,2,5,1973
/coaches/KuhlHa0.htm,7,Hank Kuhlmann,Assistant,Green Bay Packers,2,5,1973
/coaches/McCaDo0.htm,7,Don McCafferty,Coach,Detroit Lions,1,6,1973
/coaches/BerrRa0.htm,7,Raymond Berry,Receivers,Detroit Lions,1,6,1973
/coaches/ForzRi0.htm,7,Rick Forzano,Backfield Coach,Detroit Lions,1,6,1973
/coaches/HollBo0.htm,7,Bob Hollway,Defensive Backs,Detroit Lions,1,6,1973
/coaches/KhayEd0.htm,7,Ed Khayat,Defensive Line,Detroit Lions,1,6,1973
/coaches/GranBu0.htm,2,Bud Grant,Coach,Minnesota Vikings,0,12,1973
/coaches/PateJa0.htm,2,Jack Patera,Defensive Line,Minnesota Vikings,0,12,1973
/coaches/WebsAl0.htm,11,Alex Webster,Coach,New York Giants,1,2,1973
/coaches/CoryDo0.htm,9,Don Coryell,Coach,St. Louis Cardinals,1,4,1973
/coaches/GibbJo0.htm,9,Joe Gibbs,Offensive Backfield,St. Louis Cardinals,1,4,1973
/coaches/HaniJi0.htm,9,Jim Hanifan,Offensive Line,St. Louis Cardinals,1,4,1973
/coaches/McCoMi0.htm,8,Mike McCormack,Coach,Philadelphia Eagles,1,5,1973
/coaches/LeBeDi0.htm,8,Dick LeBeau,Special Teams,Philadelphia Eagles,1,5,1973
/coaches/MazuJo0.htm,8,John Mazur,Defensive Backs,Philadelphia Eagles,1,5,1973
/coaches/AlleGe0.htm,4,George Allen,Coach,Washington Redskins,0,10,1973
/coaches/AustBi0.htm,4,Bill Austin,Offensive Line,Washington Redskins,0,10,1973
/coaches/WallCh0.htm,4,Charlie Waller,Offensive Backfield,Washington Redskins,0,10,1973
/coaches/LandTo0.htm,4,Tom Landry,Coach,Dallas Cowboys,0,10,1973
/coaches/DitkMi0.htm,4,Mike Ditka,Special Teams/Receivers,Dallas Cowboys,0,10,1973
/coaches/HughEd0.htm,4,Ed Hughes,Offensive Backfield,Dallas Cowboys,0,10,1973
/coaches/StalGe0.htm,4,Gene Stallings,Defensive Backs,Dallas Cowboys,0,10,1973
/coaches/SvarHa0.htm,6,Harland Svare,Coach,San Diego Chargers,1,1,1973
/coaches/WallRo0.htm,5,Ron Waller,Coach,San Diego Chargers,0,1,1973
/coaches/GregFo0.htm,5,Forrest Gregg,Offensive Line,San Diego Chargers,0,1,1973
/coaches/RalsJo0.htm,5,John Ralston,Coach,Denver Broncos,2,7,1973
/coaches/CourDi0.htm,5,Dick Coury,Wide Receivers,Denver Broncos,2,7,1973
/coaches/UricRi0.htm,5,Richard Urich,Defensive Line,Denver Broncos,2,7,1973
/coaches/StraHa0.htm,5,Hank Stram,Coach,Kansas City Chiefs,2,7,1973
/coaches/BettTo0.htm,5,Tom Bettis,Defensive Backs,Kansas City Chiefs,2,7,1973
/coaches/CoreWa0.htm,5,Walt Corey,Linebackers,Kansas City Chiefs,2,7,1973
/coaches/MaddJo0.htm,4,John Madden,Coach,Oakland Raiders,1,9,1973
/coaches/FlorTo0.htm,4,Tom Flores,Receivers,Oakland Raiders,1,9,1973
/coaches/ZemaBo0.htm,4,Bob Zeman,Defensive Backs,Oakland Raiders,1,9,1973
/coaches/PeteBi0.htm,5,Bill Peterson,Coach,Houston Oilers,0,0,1973
/coaches/GillSi0.htm,8,Sid Gillman,Coach,Houston Oilers,0,1,1973
/coaches/SkorNi0.htm,5,Nick Skorich,Coach,Cleveland Browns,2,7,1973
/coaches/McCaRi0.htm,5,Richie McCabe,Defensive Backs,Cleveland Browns,2,7,1973
/coaches/NollCh0.htm,4,Chuck Noll,Coach,Pittsburgh Steelers,0,10,1973
/coaches/WideWo0.htm,4,Woody Widenhofer,Linebackers,Pittsburgh Steelers,0,10,1973
/coaches/BrowPa0.htm,4,Paul Brown,Coach,Cincinnati Bengals,0,10,1973
/coaches/JohnBi0.htm,4,Bill Johnson,Offensive Line,Cincinnati Bengals,0,10,1973
/coaches/WalsBi0.htm,4,Bill Walsh,Quarterbacks,Cincinnati Bengals,0,10,1973
/coaches/SchnHo0.htm,10,Howard Schnellenberger,Coach,Baltimore Colts,0,4,1973
/coaches/SefcGe0.htm,10,George Sefcik,Quarterbacks/Running Backs,Baltimore Colts,0,4,1973
/coaches/EwbaWe0.htm,10,Weeb Ewbank,Coach,New York Jets,0,4,1973
/coaches/BileEd0.htm,10,Ed Biles,Defensive Backs,New York Jets,0,4,1973
/coaches/HoloMi0.htm,10,Mike Holovak,Offensive Assistant,New York Jets,0,4,1973
/coaches/RyanBu0.htm,10,Buddy Ryan,Defensive Line,New York Jets,0,4,1973
/coaches/WinnCh0.htm,10,Charley Winner,Defensive Coach,New York Jets,0,4,1973
/coaches/FairCh0.htm,9,Chuck Fairbanks,Coach,New England Patriots,0,5,1973
/coaches/BullHa0.htm,9,Hank Bullough,Defensive Line,New England Patriots,0,5,1973
/coaches/ErhaRo0.htm,9,Ron Erhardt,Backfield Coach,New England Patriots,0,5,1973
/coaches/MillRe0.htm,9,Red Miller,Offensive Line,New England Patriots,0,5,1973
/coaches/RutiSa0.htm,9,Sam Rutigliano,Wide Receivers Coach,New England Patriots,0,5,1973
/coaches/SabaLo0.htm,5,Lou Saban,Coach,Buffalo Bills,0,9,1973
/coaches/ShulDo0.htm,2,Don Shula,Coach,Miami Dolphins,0,12,1973
/coaches/ClarMo0.htm,2,Monte Clark,Offensive Line,Miami Dolphins,0,12,1973
/coaches/NolaDi0.htm,3,Dick Nolan,Coach,San Francisco 49ers,1,10,1970
/coaches/HughEd0.htm,3,Ed Hughes,Offensive Coach,San Francisco 49ers,1,10,1970
/coaches/ShofJi0.htm,3,Jim Shofner,Quarterbacks/Wide Receivers,San Francisco 49ers,1,10,1970
/coaches/WiggPa0.htm,3,Paul Wiggin,Defensive Line,San Francisco 49ers,1,10,1970
/coaches/SchmJo0.htm,4,Joe Schmidt,Coach,Detroit Lions,0,10,1970
/coaches/KnoxCh0.htm,4,Chuck Knox,Offensive Line,Detroit Lions,0,10,1970
/coaches/NortJo0.htm,4,John North,Receivers,Detroit Lions,0,10,1970
/coaches/BengPh0.htm,8,Phil Bengtson,Coach,Green Bay Packers,0,6,1970
/coaches/BratZe0.htm,8,Zeke Bratkowski,Offensive Backs,Green Bay Packers,0,6,1970
/coaches/HannDa0.htm,8,Dave Hanner,Defensive Line,Green Bay Packers,0,6,1970
/coaches/SchnBo0.htm,8,Bob Schnelker,Assistant,Green Bay Packers,0,6,1970
/coaches/WinnCh0.htm,5,Charley Winner,Coach,St. Louis Cardinals,1,8,1970
/coaches/BennLe0.htm,5,Leeman Bennett,Offensive Backfield,St. Louis Cardinals,1,8,1970
/coaches/MillRe0.htm,5,Red Miller,Offensive Line,St. Louis Cardinals,1,8,1970
/coaches/LandTo0.htm,4,Tom Landry,Coach,Dallas Cowboys,0,10,1970
/coaches/WebsAl0.htm,5,Alex Webster,Coach,New York Giants,0,9,1970
/coaches/GarrJi0.htm,5,Jim Garrett,Assistant Coach,New York Giants,0,9,1970
/coaches/WaltJo0.htm,5,Joe Walton,Wide Receivers,New York Giants,0,9,1970
/coaches/AustBi0.htm,8,Bill Austin,Coach,Washington Redskins,0,6,1970
/coaches/McCoMi0.htm,8,Mike McCormack,Assistant Coach,Washington Redskins,0,6,1970
/coaches/GranBu0.htm,2,Bud Grant,Coach,Minnesota Vikings,0,12,1970
/coaches/ArmsNe0.htm,2,Neill Armstrong,Defensive Backs,Minnesota Vikings,0,12,1970
/coaches/PateJa0.htm,2,Jack Patera,Defensive Line,Minnesota Vikings,0,12,1970
/coaches/SabaLo0.htm,8,Lou Saban,Coach,Denver Broncos,1,5,1970
/coaches/CollJo0.htm,8,Joe Collier,Defensive Backs,Denver Broncos,1,5,1970
/coaches/RutiSa0.htm,8,Sam Rutigliano,Wide Receivers Coach,Denver Broncos,1,5,1970
/coaches/WallCh0.htm,6,Charlie Waller,Coach,San Diego Chargers,3,5,1970
/coaches/PhilBu0.htm,6,Bum Phillips,Defensive Line,San Diego Chargers,3,5,1970
/coaches/StraHa0.htm,5,Hank Stram,Coach,Kansas City Chiefs,2,7,1970
/coaches/BettTo0.htm,5,Tom Bettis,Defensive Backs,Kansas City Chiefs,2,7,1970
/coaches/WillJe0.htm,10,Jerry Williams,Coach,Philadelphia Eagles,1,3,1970
/coaches/StanDi0.htm,10,Dick Stanfel,Offensive Line,Philadelphia Eagles,1,3,1970
/coaches/DoolJi0.htm,8,Jim Dooley,Coach,Chicago Bears,0,6,1970
/coaches/GibrAb0.htm,8,Abe Gibron,Defensive Line,Chicago Bears,0,6,1970
/coaches/MaddJo0.htm,4,John Madden,Coach,Oakland Raiders,2,8,1970
/coaches/McCaRi0.htm,4,Richie McCabe,Defensive Backs,Oakland Raiders,2,8,1970
/coaches/WoodDi0.htm,4,Dick Wood,Receivers,Oakland Raiders,2,8,1970
/coaches/LemmWa0.htm,10,Wally Lemm,Coach,Houston Oilers,1,3,1970
/coaches/DevoHu0.htm,10,Hugh Devore,Assistant Coach,Houston Oilers,1,3,1970
/coaches/NollCh0.htm,9,Chuck Noll,Coach,Pittsburgh Steelers,0,5,1970
/coaches/CollBl0.htm,7,Blanton Collier,Coach,Cleveland Browns,0,7,1970
/coaches/SkorNi0.htm,7,Nick Skorich,Assistant Coach,Cleveland Browns,0,7,1970
/coaches/BrowPa0.htm,6,Paul Brown,Coach,Cincinnati Bengals,0,8,1970
/coaches/JohnBi0.htm,6,Bill Johnson,Offensive Line,Cincinnati Bengals,0,8,1970
/coaches/WalsBi0.htm,6,Bill Walsh,Wide Receivers,Cincinnati Bengals,0,8,1970
/coaches/MazuJo0.htm,6,John Mazur,Coach,Boston Patriots,0,1,1970
/coaches/RushCl0.htm,6,Clive Rush,Coach,Boston Patriots,0,1,1970
/coaches/RaucJo0.htm,10,John Rauch,Coach,Buffalo Bills,1,3,1970
/coaches/MalaRa0.htm,10,Ray Malavasi,Defensive Line,Buffalo Bills,1,3,1970
/coaches/EwbaWe0.htm,10,Weeb Ewbank,Coach,New York Jets,0,4,1970
/coaches/MeyeKe0.htm,10,Ken Meyer,Offensive Assistant,New York Jets,0,4,1970
/coaches/MichWa0.htm,10,Walt Michaels,Linebackers/Defensive Backs,New York Jets,0,4,1970
/coaches/RyanBu0.htm,10,Buddy Ryan,Defensive Line,New York Jets,0,4,1970
/coaches/ShulDo0.htm,4,Don Shula,Coach,Miami Dolphins,0,10,1970
/coaches/ClarMo0.htm,4,Monte Clark,Offensive Line,Miami Dolphins,0,10,1970
/coaches/McCaDo0.htm,2,Don McCafferty,Coach,Baltimore Colts,1,11,1970
/coaches/BullHa0.htm,2,Hank Bullough,Linebackers,Baltimore Colts,1,11,1970
/coaches/RymkLo0.htm,2,Lou Rymkus,Offensive Line,Baltimore Colts,1,11,1970
/coaches/ProtTo0.htm,7,Tommy Prothro,Coach,Los Angeles Rams,1,6,1972
/coaches/BrooRi0.htm,7,Rich Brooks,Special Teams,Los Angeles Rams,1,6,1972
/coaches/CatlTo0.htm,7,Tom Catlin,Linebackers,Los Angeles Rams,1,6,1972
/coaches/VermDi0.htm,7,Dick Vermeil,Assistant,Los Angeles Rams,1,6,1972
/coaches/VanBNo0.htm,7,Norm Van Brocklin,Coach,Atlanta Falcons,0,7,1972
/coaches/BrunFr0.htm,7,Fred Bruney,Defensive Backs,Atlanta Falcons,0,7,1972
/coaches/GilmHa0.htm,7,Harry Gilmer,Assistant Coach,Atlanta Falcons,0,7,1972
/coaches/NolaDi0.htm,5,Dick Nolan,Coach,San Francisco 49ers,1,8,1972
/coaches/ShofJi0.htm,5,Jim Shofner,Quarterbacks/Wide Receivers,San Francisco 49ers,1,8,1972
/coaches/WiggPa0.htm,5,Paul Wiggin,Defensive Line,San Francisco 49ers,1,8,1972
/coaches/GibrAb0.htm,9,Abe Gibron,Coach,Chicago Bears,1,4,1972
/coaches/GranBu0.htm,7,Bud Grant,Coach,Minnesota Vikings,0,7,1972
/coaches/PateJa0.htm,7,Jack Patera,Defensive Line,Minnesota Vikings,0,7,1972
/coaches/SchmJo0.htm,5,Joe Schmidt,Coach,Detroit Lions,1,8,1972
/coaches/BennLe0.htm,5,Leeman Bennett,Offensive Backfield,Detroit Lions,1,8,1972
/coaches/KnoxCh0.htm,5,Chuck Knox,Offensive Line,Detroit Lions,1,8,1972
/coaches/NortJo0.htm,5,John North,Receivers,Detroit Lions,1,8,1972
/coaches/DeviDa0.htm,4,Dan Devine,Coach,Green Bay Packers,0,10,1972
/coaches/KuhlHa0.htm,4,Hank Kuhlmann,Assistant,Green Bay Packers,0,10,1972
/coaches/StarBa0.htm,4,Bart Starr,Quarterbacks,Green Bay Packers,0,10,1972
/coaches/KhayEd0.htm,11,Ed Khayat,Coach,Philadelphia Eagles,1,2,1972
/coaches/RaucJo0.htm,11,John Rauch,Quarterbacks,Philadelphia Eagles,1,2,1972
/coaches/HollBo0.htm,9,Bob Hollway,Coach,St. Louis Cardinals,1,4,1972
/coaches/AustBi0.htm,9,Bill Austin,Offensive Line,St. Louis Cardinals,1,4,1972
/coaches/HughEd0.htm,9,Ed Hughes,Offensive Assistant,St. Louis Cardinals,1,4,1972
/coaches/WebsAl0.htm,6,Alex Webster,Coach,New York Giants,0,8,1972
/coaches/AlleGe0.htm,3,George Allen,Coach,Washington Redskins,0,11,1972
/coaches/LevyMa0.htm,3,Marv Levy,Special Teams,Washington Redskins,0,11,1972
/coaches/McCoMi0.htm,3,Mike McCormack,Assistant Coach,Washington Redskins,0,11,1972
/coaches/WallCh0.htm,3,Charlie Waller,Offensive Backfield,Washington Redskins,0,11,1972
/coaches/WinnCh0.htm,3,Charley Winner,Defensive Coach,Washington Redskins,0,11,1972
/coaches/LandTo0.htm,4,Tom Landry,Coach,Dallas Cowboys,0,10,1972
/coaches/GillSi0.htm,4,Sid Gillman,Quality Control,Dallas Cowboys,0,10,1972
/coaches/StalGe0.htm,4,Gene Stallings,Defensive Backs,Dallas Cowboys,0,10,1972
/coaches/SvarHa0.htm,9,Harland Svare,Coach,San Diego Chargers,1,4,1972
/coaches/RalsJo0.htm,9,John Ralston,Coach,Denver Broncos,0,5,1972
/coaches/CourDi0.htm,9,Dick Coury,Wide Receivers,Denver Broncos,0,5,1972
/coaches/UricRi0.htm,9,Richard Urich,Defensive Line,Denver Broncos,0,5,1972
/coaches/StraHa0.htm,6,Hank Stram,Coach,Kansas City Chiefs,0,8,1972
/coaches/BettTo0.htm,6,Tom Bettis,Defensive Backs,Kansas City Chiefs,0,8,1972
/coaches/CoreWa0.htm,6,Walt Corey,Linebackers,Kansas City Chiefs,0,8,1972
/coaches/MaddJo0.htm,3,John Madden,Coach,Oakland Raiders,1,10,1972
/coaches/FlorTo0.htm,3,Tom Flores,Receivers,Oakland Raiders,1,10,1972
/coaches/MalaRa0.htm,3,Ray Malavasi,Linebackers,Oakland Raiders,1,10,1972
/coaches/ZemaBo0.htm,3,Bob Zeman,Defensive Backs,Oakland Raiders,1,10,1972
/coaches/PeteBi0.htm,13,Bill Peterson,Coach,Houston Oilers,0,1,1972
/coaches/HennDa0.htm,13,Dan Henning,Quarterbacks/Receivers Coach,Houston Oilers,0,1,1972
/coaches/BrowPa0.htm,6,Paul Brown,Coach,Cincinnati Bengals,0,8,1972
/coaches/JohnBi0.htm,6,Bill Johnson,Offensive Line,Cincinnati Bengals,0,8,1972
/coaches/WalsBi0.htm,6,Bill Walsh,Quarterbacks,Cincinnati Bengals,0,8,1972
/coaches/SkorNi0.htm,4,Nick Skorich,Coach,Cleveland Browns,0,10,1972
/coaches/McCaRi0.htm,4,Richie McCabe,Defensive Backs,Cleveland Browns,0,10,1972
/coaches/NollCh0.htm,3,Chuck Noll,Coach,Pittsburgh Steelers,0,11,1972
/coaches/BengPh0.htm,4,Phil Bengtson,Coach,New England Patriots,0,1,1972
/coaches/MazuJo0.htm,7,John Mazur,Coach,New England Patriots,0,2,1972
/coaches/RutiSa0.htm,7,Sam Rutigliano,Wide Receivers Coach,New England Patriots,0,2,1972
/coaches/SabaLo0.htm,9,Lou Saban,Coach,Buffalo Bills,1,4,1972
/coaches/DoolJi0.htm,9,Jim Dooley,Linebackers,Buffalo Bills,1,4,1972
/coaches/McCaDo0.htm,4,Don McCafferty,Coach,Baltimore Colts,0,1,1972
/coaches/SandJo0.htm,5,John Sandusky,Coach,Baltimore Colts,0,4,1972
/coaches/BullHa0.htm,5,Hank Bullough,Linebackers,Baltimore Colts,0,4,1972
/coaches/MillRe0.htm,5,Red Miller,Offensive Line,Baltimore Colts,0,4,1972
